parametro,etiqueta,ok,min_abs_E_meV,peso_bordes,Gamma_top_meV,error
01_longitud_hilo,L=3000 nm,True,0.00013425709747890452,0.5748285525544496,0.62,
01_longitud_hilo,base,True,4.570586416158336e-06,0.6187142434201737,0.62,
01_longitud_hilo,L=5000 nm,True,6.15537123279029e-07,0.7051594304479669,0.62,
02_resolucion_malla,N=251,True,9.150775208140148e-06,0.6062999307751471,0.62,
02_resolucion_malla,N=401,True,4.570586416125959e-06,0.6187142434201737,0.62,
02_resolucion_malla,N=601,True,2.0975431828583688e-06,0.6208968493377107,0.62,
03_potencial_quimico_mu,mu=0.08 meV,True,1.4287379234391002e-05,0.6268831437906371,0.62,
03_potencial_quimico_mu,base,True,4.570586416144083e-06,0.6187142434201733,0.62,
03_potencial_quimico_mu,mu=0.18 meV,True,1.4470079577028294e-06,0.610299987932105,0.62,
04_zeeman_topologico,Gamma=0.52 meV,True,1.214795260743187e-06,0.7383283643432459,0.52,
04_zeeman_topologico,base,True,4.570586416140616e-06,0.6187142434201736,0.62,
04_zeeman_topologico,Gamma=0.78 meV,True,1.2834692233192698e-05,0.49292591519390416,0.78,
05_rashba_alpha,alpha=15 meV nm,True,0.00030430183360492596,0.43609595018998004,0.62,
05_rashba_alpha,base,True,4.570586416133973e-06,0.6187142434201738,0.62,
05_rashba_alpha,alpha=40 meV nm,True,7.371641703538198e-07,0.7689392196748859,0.62,
06_masa_efectiva,m*=0.010,True,5.155816185567536e-05,0.5561829440564106,0.62,
06_masa_efectiva,base,True,4.570586416148328e-06,0.6187142434201738,0.62,
06_masa_efectiva,m*=0.020,True,3.125953180670278e-07,0.7302929851078835,0.62,
07_acoplo_interfaz_gamma0,gamma0=0.20 meV,True,0.00038997400489305554,0.43977334186103223,0.62,
07_acoplo_interfaz_gamma0,base,True,4.570586416162051e-06,0.6187142434201734,0.62,
07_acoplo_interfaz_gamma0,gamma0=0.45 meV,True,2.9403840391619435e-08,0.8612733582686705,0.62,
08_gap_padre_Delta0,Delta0=0.22 meV,True,3.897764088846469e-06,0.6157225727007257,0.62,
08_gap_padre_Delta0,base,True,4.570586416150436e-06,0.6187142434201736,0.62,
08_gap_padre_Delta0,Delta0=0.45 meV,True,5.429750604611765e-06,0.6225344738732161,0.62,
09_potencial_interfaz_VSC,VSC=-0.02 meV,True,1.043686732652813e-05,0.6219930341588371,0.62,
09_potencial_interfaz_VSC,base,True,4.570586416151403e-06,0.6187142434201736,0.62,
09_potencial_interfaz_VSC,VSC=-0.07 meV,True,1.8850921500346865e-05,0.6146199878066145,0.62,
10_gate_global_Vg,Vg=-0.03 meV,True,1.8786116710601344e-05,0.6139004903843537,0.62,
10_gate_global_Vg,base,True,4.570586416143046e-06,0.6187142434201738,0.62,
10_gate_global_Vg,Vg=+0.03 meV,True,1.4375805226589041e-05,0.6246480689294485,0.62,
11_hartree_U0,U0=0,True,4.807262414262847e-06,0.6188390677840696,0.62,
11_hartree_U0,base,True,4.570586416135147e-06,0.6187142434201732,0.62,
11_hartree_U0,U0=0.09 meV,True,4.335625885851375e-06,0.6186066783264399,0.62,
12_apantallamiento_lambda,lambda=25 nm,True,4.614549147307945e-06,0.6191116946812041,0.62,
12_apantallamiento_lambda,base,True,4.570586416152095e-06,0.6187142434201737,0.62,
12_apantallamiento_lambda,lambda=85 nm,True,4.472314777936401e-06,0.6180616581353089,0.62,
13_altura_barrera,Vb=0,True,4.975538172292141e-06,0.616943593030326,0.62,
13_altura_barrera,base,True,4.570586416135183e-06,0.6187142434201733,0.62,
13_altura_barrera,Vb=0.018 meV,True,3.754822011829426e-06,0.6223047827178856,0.62,
14_posicion_barrera,xb=35 nm,True,4.676438804926001e-06,0.618078665004021,0.62,
14_posicion_barrera,base,True,4.570586416144763e-06,0.6187142434201736,0.62,
14_posicion_barrera,xb=150 nm,True,4.6199335934029825e-06,0.617770457650569,0.62,
15_anchura_barrera,sigma_b=25 nm,True,4.717816810547295e-06,0.6180071614373875,0.62,
15_anchura_barrera,base,True,4.570586416141139e-06,0.6187142434201734,0.62,
15_anchura_barrera,sigma_b=110 nm,True,4.393558837319539e-06,0.6185765319791057,0.62,
16_inicio_cobertura_SC,xSC=20 nm,True,3.6525415201560074e-06,0.6508174463650722,0.62,
16_inicio_cobertura_SC,base,True,4.57058641613997e-06,0.6187142434201736,0.62,
16_inicio_cobertura_SC,xSC=160 nm,True,5.154731906546947e-06,0.3093761299613863,0.62,
17_suavidad_cobertura_SC,sSC=7 nm,True,4.412980656905481e-06,0.6245175240882825,0.62,
17_suavidad_cobertura_SC,base,True,4.570586416138668e-06,0.6187142434201732,0.62,
17_suavidad_cobertura_SC,sSC=45 nm,True,5.11511508698177e-06,0.5930104727734686,0.62,
18_temperatura,T=0.005 K,True,4.5686064482618664e-06,0.6187222296069939,0.62,
18_temperatura,base,True,4.570586416146752e-06,0.6187142434201731,0.62,
18_temperatura,T=0.08 K,True,4.575638349818384e-06,0.6186939358064607,0.62,
19_ensanchamiento_LDOS,eta=0.010 meV,True,4.57058641614179e-06,0.6187142434201737,0.62,
19_ensanchamiento_LDOS,base,True,4.5705864161472615e-06,0.6187142434201734,0.62,
19_ensanchamiento_LDOS,eta=0.045 meV,True,4.57058641614642e-06,0.6187142434201741,0.62,
20_asimetria_puertas_interfaz,asimetria izquierda,True,4.569232534255158e-06,0.6187157694589769,0.62,
20_asimetria_puertas_interfaz,base,True,4.570586416138032e-06,0.6187142434201743,0.62,
20_asimetria_puertas_interfaz,asimetria derecha,True,4.569232534076995e-06,0.6187157694589784,0.62,
